ProblemName,Seed,T_combined,T_confgraph,T_dualproof,T_noLPinf,N_combined,N_confgraph,N_dualproof,N_noLPinf,DI_combined,DI_confgraph,DI_dualproof,DI_noLPinf,Gap_combined,Gap_confgraph,Gap_dualproof,Gap_noLPinf,GapQ_combined,GapQ_confgraph,GapQ_dualproof,GapQ_noLPinf,TQ_combined,TQ_confgraph,TQ_dualproof,TQ_noLPinf,NQ_combined,NQ_confgraph,NQ_dualproof,NQ_noLPinf,DIQ_combined,DIQ_confgraph,DIQ_dualproof,DIQ_noLPinf
markshare_4_0,0,72.47,290.41,57.79,236.7,612396,2571032,506673,2086134,7247.0,29040.99999999273,5779.0,23669.999999993874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30616814533164344,1.226911702577102,0.2441487114490917,1.0,0.293555447540762,1.2324385681840189,0.24287653621483568,1.0,0.30616814533172265,1.2269117025771124,0.24414871144915487,1.0
markshare_4_0,1,70.48,303.0,58.16,293.15,589762,2661583,506440,2638602,7048.0,30299.99999999268,5815.99999999866,29314.999999993168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24042299164250386,1.0336005457956678,0.19839672522599353,1.0,0.22351305729321816,1.0087095363378031,0.19193497162512574,1.0,0.24042299164255987,1.033600545795659,0.19839672522599405,1.0
markshare_4_0,2,85.88,254.91,61.29,337.3,719508,2235991,535874,3027177,8588.0,25490.999999993932,6129.0,33729.99999999199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546101393418322,0.7557367328787429,0.18170767862436998,1.0,0.23768283123187048,0.7386390026087011,0.17702103312756406,1.0,0.2546101393418927,0.7557367328787425,0.18170767862441314,1.0
mas74,0,1680.79,1660.7,1523.56,1488.86,4932223,5061685,4437792,4599675,6714.657077007676,6566.120905891473,6257.77380836948,5999.999966776214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12891071020781,1.1154171648106606,1.023306422363419,1.0,1.0722981514998342,1.1004440531124482,0.9648055569143472,1.0,1.1191095190314553,1.0943534903750065,1.0429623071701062,1.0
mas74,2,1563.59,1295.72,1171.7,1193.28,4674399,3949864,3539157,3776851,6164.667939272116,5034.360333059814,4748.275753124912,4794.81952989381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3103295119334941,1.0858474121748458,0.9819153928667204,1.0,1.2376445350902114,1.0458087967992382,0.9370655607012297,1.0,1.2856934240877766,1.0499582521662312,0.9902929033139378,1.0
mas76,2,152.65,143.18,146.06,145.73,450422,448267,466086,466086,190.81097626460183,181.17071009657218,182.1870136648704,181.52032660886326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0474850751389557,0.9825018870513965,1.0022644616757017,1.0,0.9663924683427522,0.9617688581077312,1.0,1.0,1.051182420334434,0.9980739539266893,1.0036727955951936,1.0
mc11,0,149.4,169.88,73.77,77.69,6484,7587,1097,1115,235.9292069467016,264.4252365471807,162.48163572589596,166.9148977671314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9230274166559405,2.1866392071051615,0.9495430557343287,1.0,5.815246636771301,6.8044843049327355,0.9838565022421525,1.0,1.4134700383416607,1.5841919450239201,0.9734399858817848,1.0
mc11,1,80.39,101.25,210.52,125.34,1411,2695,9069,3364,170.2462143895971,189.7955830267773,290.1232047223888,210.77917187098961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641375458752194,0.8078027764480612,1.6795915110898356,1.0,0.41944114149821643,0.8011296076099881,2.69589774078478,1.0,0.8076994177289903,0.9004475221249298,1.3764320361784266,1.0
mc11,2,106.11,93.14,210.21,304.49,3386,2184,10462,15636,194.48838138420732,182.66592180682682,278.5966968945165,369.55987338523386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34848435088180235,0.30588853492725543,0.6903674997536865,1.0,0.21655154771041188,0.13967766692248657,0.6690969557431569,1.0,0.5262702890404721,0.49427964170886474,0.7538607867313122,1.0
mcsched,0,318.21,356.03,329.92,326.38,11378,15011,15321,16119,1771.6943599496017,2104.0006162906475,1988.0949748245744,1954.8802017809182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749678289110852,1.0908450272688277,1.0108462528341198,1.0,0.7058750542837645,0.9312612444940753,0.9504932067746138,1.0,0.9062930599714335,1.076281101201945,1.016990694884217,1.0
